#Title : in-situ observations catalog
#Description : catalog of available in-situ observations per platform
#Project : Copernicus
#Format Version : 1.0
#Last Update : 20200615091703
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_PR_BO_SHIPGTSP.nc,-72.22110,66.40000,-140.00000,172.38310,1990-01-22T00:00:00Z,1993-08-29T18:07:00Z,Unknown institution,2020-01-19T10:00:21Z,R, DEPH PRES TEMP PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_9VBM5.nc,-38.98333,50.05000,-10.10000,151.00000,2014-06-03T12:53:00Z,2016-02-18T11:30:00Z,Unknown institution,2019-05-12T00:45:11Z,R, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_A8IG2.nc,-43.53333,52.08333,-179.18330,178.51669,2009-04-09T12:00:00Z,2016-10-24T11:59:00Z,Liberia (Unknown),2020-04-05T22:26:36Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_DGCT.nc,-24.61667,50.18333,-60.48333,3.83333,2006-01-14T12:00:00Z,2006-05-14T20:15:00Z,IRD  Institut de recherche pour le developpement - Noumea,2019-05-05T17:54:27Z,R, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FABB.nc,-34.88334,49.80000,-28.86667,62.15000,2004-01-15T11:35:00Z,2015-10-20T12:05:00Z,SHOM  Service Hydrographique et Oceanographique de la Marine,2020-01-28T05:20:53Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FMCY_2007.nc,32.10860,46.60750,-33.90280,31.35280,2007-06-19T07:18:00Z,2007-12-21T06:50:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:14:26Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FMCY_2008.nc,0.07583,48.99390,-26.36830,8.58444,2008-01-29T13:08:00Z,2008-10-03T05:50:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-15T21:46:20Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FMCY_2010.nc,-6.44333,48.87940,-67.33170,8.75361,2010-01-05T18:18:00Z,2010-12-31T06:40:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:14:26Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FMCY_2011.nc,-6.70000,55.51667,-17.61667,9.70000,2011-03-19T06:12:00Z,2011-12-30T06:30:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:14:26Z,D, DEPH PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/history/BO/GL_TS_BO_FMCY_2012.nc,-6.70000,64.03333,-51.25000,22.91667,2012-01-01T06:38:00Z,2012-12-11T06:52:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:14:24Z,D, DEPH PSAL
