#Title : in-situ observations catalog
#Description : catalog of available in-situ observations per platform
#Project : Copernicus
#Format Version : 1.0
#Last Update : 20200615111537
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_GL_6801666_20200516.nc,39.81575,39.83778,5.59677,5.77029,2020-05-16T00:19:12Z,2020-05-16T22:57:29Z,CNR  Institute of Marine Sciences S.S. of Lerici (SP),2020-05-19T09:01:19Z,R, PRES CNDC PSAL TEMP TEMP_DOXY
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_GL_68453_20200516.nc,43.59316,43.64336,7.33755,7.44622,2020-05-16T07:07:38Z,2020-05-16T22:02:11Z,INSU  Institut National des Sciences de l'Univers,2020-06-10T08:01:37Z,R, PRES PSAL TEMP CNDC CPHL TUR4 TEMP_DOXY DOX2
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_3901849_20200516.nc,42.55159,42.55159,6.80076,6.80076,2020-05-16T11:50:20Z,2020-05-16T11:50:20Z,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2020-05-16T14:01:51Z,R, PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_3901908_20200516.nc,33.46623,33.46623,29.08574,29.08574,2020-05-16T20:43:20Z,2020-05-16T20:43:20Z,Euro-Argo,2020-05-16T23:01:39Z,R, PRES TEMP PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_3901975_20200516.nc,37.62883,37.62883,5.66101,5.66101,2020-05-16T05:56:00Z,2020-05-16T05:56:00Z,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2020-05-16T08:02:10Z,R, PRES TEMP PSAL
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902846_20200516.nc,33.52892,33.52892,26.83955,26.83955,2020-05-16T22:44:30Z,2020-05-16T22:44:30Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-05-17T03:02:34Z,R, PRES PSAL TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902847_20200516.nc,34.68220,34.68220,22.91294,22.91294,2020-05-16T22:55:30Z,2020-05-16T22:55:30Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-05-17T03:02:37Z,R, PRES PSAL TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902848_20200516.nc,41.89338,41.89338,18.35115,18.35115,2020-05-16T06:55:30Z,2020-05-16T06:55:30Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-05-16T09:01:49Z,R, PRES PSAL TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902850_20200516.nc,41.87309,41.87309,5.86475,5.86475,2020-05-16T02:49:30Z,2020-05-16T02:49:30Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-05-16T05:02:15Z,R, PRES PSAL TEMP
COP-MO-01,ftp://nrt.cmems-du.eu/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/med_multiparameter_nrt/latest/20200516/GL_PR_PF_6902872_20200516.nc,35.21454,35.21454,23.28662,23.28662,2020-05-16T05:06:30Z,2020-05-16T05:06:30Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-05-16T08:04:18Z,R, PRES DOX2_ADJUSTED_ERROR DOX2_ADJUSTED PSAL TEMP DOX2
