# Title : in-situ platforms catalog
# Description : catalog of available MED in-situ platforms
# Project : Copernicus (generated by Hellenic Centre for Marine Research-GREECE)
# Format version : 1.0
# Date of update : 20200330051707
# platform_code,creation_date,update_date,wmo_platform_code,data_source,institution,institution_edmo_code,parameter,last_latitude_observation,last_longitude_observation,last_date_observation
0-2820800,2019-07-08T10:08:30Z,2019-07-08T10:08:30Z, ,MO_TS_DC_0-2820800_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,42.76617,10.06001,2017-10-14T06:00:00Z
0-2821344,2019-07-08T10:08:30Z,2019-07-08T10:08:30Z, ,MO_TS_DC_0-2821344_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.366795,10.244821,2017-10-13T03:00:00Z
0-2822859,2019-07-08T10:08:30Z,2019-07-08T10:08:30Z, ,MO_TS_DC_0-2822859_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.367943,10.166446,2017-10-12T21:00:00Z
0-3101205,2019-07-08T10:08:43Z,2019-07-08T10:08:43Z, ,MO_TS_DC_0-3101205_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,32.35722,34.84157,2018-06-29T03:00:00Z
0-3101519,2019-07-08T10:08:25Z,2019-07-08T10:08:25Z, ,MO_TS_DC_0-3101519_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,43.480335,9.986623,2017-09-30T21:00:00Z
0-3101814,2019-07-08T10:08:43Z,2019-07-08T10:08:43Z, ,MO_TS_DC_0-3101814_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,33.24677,35.107536,2018-06-17T03:00:00Z
0-3102458,2019-07-08T10:09:01Z,2019-07-08T10:09:01Z, ,MO_TS_DC_0-3102458_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,41.857246,11.787342,2018-07-31T21:00:00Z
0-3102556,2019-07-08T10:09:01Z,2019-07-08T10:09:01Z, ,MO_TS_DC_0-3102556_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,32.419037,34.835705,2018-07-03T09:00:00Z
0-3102563,2019-07-08T10:08:44Z,2019-07-08T10:08:44Z, ,MO_TS_DC_0-3102563_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.91673,3.3795843,2018-06-17T03:00:00Z
0-3102606,2019-07-08T10:08:44Z,2019-07-08T10:08:44Z, ,MO_TS_DC_0-3102606_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,33.27432,35.198368,2018-06-19T12:00:00Z
0-3102841,2019-07-08T10:08:44Z,2019-07-08T10:08:44Z, ,MO_TS_DC_0-3102841_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,37.210056,2.6322165,2018-06-21T15:00:00Z
0-3102842,2019-07-08T10:08:44Z,2019-07-08T10:08:44Z, ,MO_TS_DC_0-3102842_YYYYMM,OGS (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale),120, EWCT NSCT DEPH DROGUE_PRESENCE,38.44859,3.349984,2018-06-20T00:00:00Z
